_key,_from,_to,exposure
131,persons/9533,persons/7617,DISTANT
132,persons/9944,persons/9224,CASUAL
133,persons/7525,persons/8976,CLOSE
134,persons/1495,persons/1446,CASUAL
135,persons/7965,persons/9950,CASUAL
136,persons/6842,persons/5808,CASUAL
137,persons/7262,persons/594,CLOSE
138,persons/4024,persons/7886,CLOSE
139,persons/1456,persons/9446,DISTANT
140,persons/7688,persons/4786,CLOSE
141,persons/8277,persons/5451,CLOSE
142,persons/2377,persons/9993,DISTANT
143,persons/5433,persons/5568,CLOSE
144,persons/5513,persons/1177,DISTANT
145,persons/6312,persons/2304,CLOSE
146,persons/9146,persons/3721,CLOSE
147,persons/9634,persons/3140,CASUAL
148,persons/121,persons/7883,CLOSE
149,persons/5667,persons/8650,DISTANT
150,persons/2725,persons/3244,CLOSE
151,persons/7297,persons/8975,CASUAL
152,persons/7157,persons/7139,CLOSE
153,persons/7429,persons/6123,CLOSE
154,persons/8476,persons/802,CASUAL
155,persons/6683,persons/1680,DISTANT
156,persons/995,persons/2096,CLOSE
157,persons/6429,persons/785,CASUAL
158,persons/3657,persons/1697,CLOSE
159,persons/2311,persons/5635,CASUAL
160,persons/8272,persons/1759,DISTANT
161,persons/4154,persons/741,DISTANT
162,persons/1137,persons/321,CASUAL
163,persons/789,persons/5965,CLOSE
164,persons/1457,persons/8616,CASUAL
165,persons/4016,persons/1110,CLOSE
166,persons/2084,persons/1690,CLOSE
167,persons/7165,persons/4865,CASUAL
168,persons/4935,persons/8105,DISTANT
169,persons/2902,persons/6201,CASUAL
170,persons/7956,persons/2598,CLOSE
171,persons/5339,persons/8268,CLOSE
172,persons/7174,persons/623,CLOSE
173,persons/3533,persons/3112,DISTANT
174,persons/5302,persons/984,DISTANT
175,persons/3175,persons/7816,CLOSE
176,persons/8471,persons/6947,CASUAL
177,persons/2009,persons/374,CLOSE
178,persons/8540,persons/3376,DISTANT
179,persons/4680,persons/8270,DISTANT
180,persons/3365,persons/1051,CLOSE
181,persons/8918,persons/7387,CASUAL
182,persons/6595,persons/9065,DISTANT
183,persons/2201,persons/8743,CASUAL
184,persons/1508,persons/3202,CLOSE
185,persons/2927,persons/2446,DISTANT
186,persons/6919,persons/3918,CLOSE
187,persons/6608,persons/3284,CASUAL
188,persons/9700,persons/2526,DISTANT
189,persons/8623,persons/3574,DISTANT
190,persons/1795,persons/8636,DISTANT
191,persons/746,persons/8388,DISTANT
192,persons/2220,persons/7046,CASUAL
193,persons/1929,persons/7875,DISTANT
194,persons/7741,persons/3915,CLOSE
195,persons/787,persons/1280,CASUAL
196,persons/4104,persons/6628,CLOSE
197,persons/9980,persons/3298,DISTANT
198,persons/7748,persons/2300,CASUAL
199,persons/2418,persons/1109,CASUAL
200,persons/9471,persons/3514,CASUAL
201,persons/9386,persons/4044,CASUAL
202,persons/5407,persons/2074,DISTANT
203,persons/3021,persons/3197,CASUAL
204,persons/4323,persons/4642,DISTANT
205,persons/2350,persons/4640,CASUAL
206,persons/9698,persons/6802,CASUAL
207,persons/6639,persons/487,CLOSE
208,persons/5025,persons/8550,CASUAL
209,persons/1787,persons/6773,CASUAL
210,persons/890,persons/7356,CASUAL
211,persons/4979,persons/7417,CLOSE
212,persons/2583,persons/8312,DISTANT
213,persons/7462,persons/6514,CLOSE
214,persons/7321,persons/4467,CLOSE
215,persons/6363,persons/6173,DISTANT
216,persons/6576,persons/3719,CLOSE
217,persons/7835,persons/8658,CLOSE
218,persons/584,persons/7171,CLOSE
219,persons/8409,persons/5444,CASUAL
220,persons/1329,persons/9225,CLOSE
221,persons/6679,persons/1814,CLOSE
222,persons/3603,persons/7710,CASUAL
223,persons/3880,persons/2326,CASUAL
224,persons/4974,persons/9049,CASUAL
225,persons/8388,persons/5504,DISTANT
226,persons/6030,persons/9646,DISTANT
227,persons/8817,persons/7987,CASUAL
228,persons/1053,persons/8543,CASUAL
229,persons/1838,persons/4190,CLOSE
230,persons/8777,persons/2587,CLOSE
231,persons/5696,persons/9235,CLOSE
232,persons/2125,persons/499,CLOSE
233,persons/8314,persons/5707,DISTANT
234,persons/5850,persons/2392,CLOSE
235,persons/2819,persons/7516,DISTANT
236,persons/3927,persons/8208,CLOSE
237,persons/4869,persons/1103,DISTANT
238,persons/4541,persons/7727,CLOSE
239,persons/9539,persons/8174,CLOSE
240,persons/5459,persons/5033,CASUAL
241,persons/8249,persons/4803,CLOSE
242,persons/4531,persons/1872,DISTANT
243,persons/1510,persons/1181,CASUAL
244,persons/9073,persons/1528,CASUAL
245,persons/7443,persons/7371,CASUAL
246,persons/1478,persons/1577,DISTANT
247,persons/3984,persons/8669,CASUAL
248,persons/465,persons/2799,CASUAL
249,persons/9335,persons/5314,CLOSE
250,persons/294,persons/658,CLOSE
251,persons/454,persons/1814,DISTANT
252,persons/6657,persons/3786,DISTANT
253,persons/2166,persons/8212,CLOSE
254,persons/7449,persons/1085,CASUAL
255,persons/4709,persons/4006,CASUAL
256,persons/6673,persons/9693,CASUAL
257,persons/3241,persons/4203,CASUAL
258,persons/840,persons/901,CASUAL
259,persons/9051,persons/9347,CLOSE
260,persons/7353,persons/8883,DISTANT
261,persons/6733,persons/8337,CASUAL
262,persons/3688,persons/5621,CLOSE
263,persons/6094,persons/1367,CLOSE
264,persons/4241,persons/7516,CASUAL
265,persons/239,persons/3939,CASUAL
266,persons/2175,persons/2714,DISTANT
267,persons/2071,persons/1452,DISTANT
268,persons/1635,persons/6964,CASUAL
269,persons/5955,persons/1083,DISTANT
270,persons/309,persons/8261,CASUAL
271,persons/4338,persons/5152,DISTANT
272,persons/3555,persons/1934,CASUAL
273,persons/1580,persons/3239,DISTANT
274,persons/3526,persons/2935,CASUAL
275,persons/8663,persons/6137,DISTANT
276,persons/2699,persons/4646,DISTANT
277,persons/4122,persons/3769,CASUAL
278,persons/3826,persons/7104,CLOSE
279,persons/2897,persons/8287,CLOSE
280,persons/3526,persons/7538,CASUAL
281,persons/261,persons/8127,CLOSE
282,persons/5964,persons/3107,CLOSE
283,persons/5250,persons/4012,DISTANT
284,persons/9475,persons/8729,DISTANT
285,persons/5751,persons/5450,CLOSE
286,persons/9684,persons/6701,CASUAL
287,persons/9872,persons/2967,CASUAL
288,persons/9845,persons/3661,CASUAL
289,persons/9705,persons/8196,DISTANT
290,persons/9707,persons/233,CLOSE
291,persons/1670,persons/4417,CLOSE
292,persons/7835,persons/4375,CASUAL
293,persons/5819,persons/3615,CASUAL
294,persons/2070,persons/1870,CLOSE
295,persons/462,persons/5582,DISTANT
296,persons/9539,persons/8618,CLOSE
297,persons/6074,persons/5515,DISTANT
298,persons/9122,persons/4841,CASUAL
299,persons/3075,persons/192,DISTANT
300,persons/8067,persons/5448,CLOSE
301,persons/4044,persons/2052,CASUAL
302,persons/8596,persons/4766,DISTANT
303,persons/6561,persons/1935,DISTANT
304,persons/8672,persons/2237,CASUAL
305,persons/778,persons/9790,DISTANT
306,persons/7216,persons/8689,CLOSE
307,persons/3089,persons/1756,CASUAL
308,persons/5162,persons/5367,CASUAL
309,persons/7123,persons/426,CASUAL
310,persons/6121,persons/9987,CASUAL
311,persons/8475,persons/7665,CASUAL
312,persons/7772,persons/8530,CASUAL
313,persons/4736,persons/8043,CASUAL
314,persons/1963,persons/7632,CLOSE
315,persons/7371,persons/6663,CLOSE
316,persons/1723,persons/9552,CLOSE
317,persons/3609,persons/4109,DISTANT
318,persons/6032,persons/9617,CLOSE
319,persons/681,persons/8655,CASUAL
320,persons/8766,persons/5663,CASUAL
321,persons/2773,persons/506,CASUAL
322,persons/5255,persons/5299,DISTANT
323,persons/5594,persons/2815,CLOSE
324,persons/4208,persons/8370,CASUAL
325,persons/4782,persons/7615,DISTANT
326,persons/4545,persons/6283,DISTANT
327,persons/2612,persons/8128,DISTANT
328,persons/7511,persons/4470,DISTANT
329,persons/9800,persons/4817,DISTANT
330,persons/4854,persons/271,CLOSE
331,persons/1410,persons/1836,DISTANT
332,persons/3956,persons/2981,DISTANT
333,persons/2835,persons/1130,DISTANT
334,persons/5253,persons/2285,CASUAL
335,persons/2373,persons/1170,CASUAL
336,persons/5927,persons/4985,CASUAL
337,persons/5773,persons/2406,CASUAL
338,persons/7518,persons/9811,CASUAL
339,persons/3608,persons/3390,DISTANT
340,persons/9993,persons/1484,DISTANT
341,persons/1486,persons/3326,CLOSE
342,persons/4036,persons/4886,CASUAL
343,persons/6671,persons/6431,CLOSE
344,persons/5677,persons/6652,DISTANT
345,persons/6277,persons/8302,CASUAL
346,persons/1283,persons/92,CLOSE
347,persons/3937,persons/4164,CLOSE
348,persons/4915,persons/3582,CLOSE
349,persons/9165,persons/848,CASUAL
350,persons/7880,persons/7160,CLOSE
351,persons/7210,persons/4301,DISTANT
352,persons/6072,persons/1561,DISTANT
353,persons/2404,persons/4285,DISTANT
354,persons/1409,persons/4171,DISTANT
355,persons/5620,persons/500,CLOSE
356,persons/9736,persons/3758,CLOSE
357,persons/4852,persons/4803,DISTANT
358,persons/2748,persons/4992,CASUAL
359,persons/322,persons/9991,DISTANT
360,persons/1535,persons/8389,DISTANT
361,persons/2835,persons/7114,DISTANT
362,persons/8299,persons/1622,CASUAL
363,persons/9980,persons/8356,CLOSE
364,persons/5851,persons/8842,CLOSE
365,persons/8843,persons/6329,DISTANT
366,persons/9941,persons/1833,DISTANT
367,persons/3259,persons/6400,CLOSE
368,persons/9531,persons/8118,CASUAL
369,persons/465,persons/9046,CLOSE
370,persons/521,persons/4695,DISTANT
371,persons/81,persons/3923,CLOSE
372,persons/5374,persons/2653,DISTANT
373,persons/3463,persons/1539,CASUAL
374,persons/7325,persons/4951,CASUAL
375,persons/6282,persons/9873,CASUAL
376,persons/1498,persons/3921,CLOSE
377,persons/5648,persons/1470,DISTANT
378,persons/1923,persons/6628,DISTANT
379,persons/8543,persons/9387,CLOSE
380,persons/9504,persons/3551,CLOSE
381,persons/3505,persons/4962,DISTANT
382,persons/2170,persons/5170,CLOSE
383,persons/1549,persons/1347,CLOSE
384,persons/751,persons/3847,DISTANT
385,persons/8857,persons/1672,DISTANT
386,persons/8085,persons/4659,DISTANT
387,persons/8592,persons/37,CLOSE
388,persons/273,persons/995,CASUAL
389,persons/6803,persons/9792,CASUAL
390,persons/1216,persons/800,CASUAL
391,persons/7793,persons/4103,CLOSE
392,persons/9091,persons/5791,CLOSE
393,persons/2516,persons/4887,CLOSE
394,persons/2641,persons/5975,CLOSE
395,persons/8571,persons/2941,CLOSE
396,persons/1858,persons/1675,CLOSE
397,persons/5797,persons/735,DISTANT
398,persons/9441,persons/2958,CASUAL
399,persons/1833,persons/3081,CLOSE
400,persons/7876,persons/7509,CASUAL
401,persons/398,persons/5380,CLOSE
402,persons/2615,persons/4641,DISTANT
403,persons/5146,persons/2435,CASUAL
404,persons/7083,persons/6200,CLOSE
405,persons/2879,persons/5087,CASUAL
406,persons/7680,persons/896,CASUAL
407,persons/9882,persons/1731,CLOSE
408,persons/8114,persons/8795,CASUAL
409,persons/8813,persons/3934,CASUAL
410,persons/4968,persons/5115,DISTANT
411,persons/4098,persons/2891,DISTANT
412,persons/7743,persons/6121,CLOSE
413,persons/6915,persons/6806,DISTANT
414,persons/108,persons/7979,CLOSE
415,persons/7225,persons/6317,DISTANT
416,persons/1784,persons/3563,DISTANT
417,persons/4159,persons/6422,CLOSE
418,persons/5018,persons/3836,DISTANT
419,persons/2589,persons/8211,CASUAL
420,persons/1143,persons/2365,CLOSE
421,persons/1696,persons/156,DISTANT
422,persons/7439,persons/2509,CASUAL
423,persons/4702,persons/4675,CLOSE
424,persons/5482,persons/3870,DISTANT
425,persons/1519,persons/2440,CLOSE
426,persons/5578,persons/3105,CLOSE
427,persons/3316,persons/6713,CLOSE
428,persons/7688,persons/1764,CASUAL
429,persons/7653,persons/4869,CLOSE
430,persons/7067,persons/4009,CLOSE
431,persons/7151,persons/6519,CASUAL
432,persons/4426,persons/2287,DISTANT
433,persons/8334,persons/5682,DISTANT
434,persons/6376,persons/5887,CASUAL
435,persons/4496,persons/9243,CASUAL
436,persons/890,persons/5868,CLOSE
437,persons/4820,persons/7373,CLOSE
438,persons/1785,persons/4511,DISTANT
439,persons/9211,persons/2390,DISTANT
440,persons/4298,persons/5330,CLOSE
441,persons/1249,persons/1821,CASUAL
442,persons/2882,persons/1985,CASUAL
443,persons/6453,persons/6527,CASUAL
444,persons/2736,persons/6493,CASUAL
445,persons/2178,persons/1804,DISTANT
446,persons/8385,persons/8362,DISTANT
447,persons/117,persons/4815,CASUAL
448,persons/2879,persons/1130,DISTANT
449,persons/1042,persons/2513,CLOSE
450,persons/7278,persons/2947,CLOSE
451,persons/227,persons/859,CASUAL
452,persons/2222,persons/6546,CLOSE
453,persons/5952,persons/3582,CLOSE
454,persons/2539,persons/7754,CASUAL
455,persons/1704,persons/6683,CASUAL
456,persons/881,persons/9023,CLOSE
457,persons/2792,persons/6668,CLOSE
458,persons/6485,persons/1130,CASUAL
459,persons/1053,persons/6456,CASUAL
460,persons/7856,persons/6182,DISTANT
461,persons/9101,persons/4162,DISTANT
462,persons/6747,persons/9825,DISTANT
463,persons/648,persons/1820,CASUAL
464,persons/7978,persons/9069,CLOSE
465,persons/6794,persons/949,CLOSE
466,persons/1819,persons/520,CASUAL
467,persons/2794,persons/6298,CLOSE
468,persons/8189,persons/8114,CASUAL
469,persons/573,persons/7804,DISTANT
470,persons/188,persons/5173,DISTANT
471,persons/6980,persons/6245,DISTANT
472,persons/1324,persons/4322,DISTANT
473,persons/7253,persons/6151,CLOSE
474,persons/7354,persons/118,DISTANT
475,persons/4304,persons/9066,CLOSE
476,persons/6008,persons/7148,CLOSE
477,persons/714,persons/608,CASUAL
478,persons/3492,persons/3885,CLOSE
479,persons/7222,persons/3958,CLOSE
480,persons/9484,persons/7861,CASUAL
481,persons/1180,persons/5688,CASUAL
482,persons/1588,persons/1281,CLOSE
483,persons/2389,persons/3348,DISTANT
484,persons/5397,persons/2443,CLOSE
485,persons/7845,persons/5043,DISTANT
486,persons/9264,persons/8520,CLOSE
487,persons/9541,persons/5663,CASUAL
488,persons/7532,persons/3234,DISTANT
489,persons/2946,persons/7621,DISTANT
490,persons/2421,persons/635,CASUAL
491,persons/3071,persons/1065,CASUAL
492,persons/7303,persons/7079,CASUAL
493,persons/358,persons/9018,CLOSE
494,persons/5308,persons/7089,CLOSE
495,persons/5294,persons/2900,CASUAL
496,persons/2751,persons/571,DISTANT
497,persons/3335,persons/8847,CASUAL
498,persons/9215,persons/3335,CLOSE
499,persons/8304,persons/2948,DISTANT
500,persons/4485,persons/5544,CASUAL
501,persons/9068,persons/3941,CASUAL
502,persons/3592,persons/8926,DISTANT
503,persons/9419,persons/2418,CASUAL
504,persons/1504,persons/9234,DISTANT
505,persons/2257,persons/9024,DISTANT
506,persons/6516,persons/5095,DISTANT
507,persons/4760,persons/1439,DISTANT
508,persons/9888,persons/1028,CASUAL
509,persons/2357,persons/9721,CLOSE
510,persons/3411,persons/5432,DISTANT
511,persons/6963,persons/5481,CLOSE
512,persons/1966,persons/8627,CASUAL
513,persons/8346,persons/8500,CASUAL
514,persons/6105,persons/8220,CASUAL
515,persons/1905,persons/2949,CLOSE
516,persons/584,persons/1350,DISTANT
517,persons/699,persons/2568,DISTANT
518,persons/8260,persons/2064,CASUAL
519,persons/7855,persons/3937,CASUAL
520,persons/8705,persons/9913,CASUAL
521,persons/8724,persons/7634,CASUAL
522,persons/5334,persons/5728,CLOSE
523,persons/1969,persons/8244,CLOSE
524,persons/5823,persons/2816,CASUAL
525,persons/7529,persons/4391,DISTANT
526,persons/9800,persons/748,CLOSE
527,persons/3093,persons/1821,CLOSE
528,persons/4614,persons/1525,DISTANT
529,persons/3346,persons/1035,CLOSE
530,persons/3230,persons/9961,CLOSE
531,persons/4095,persons/7477,DISTANT
532,persons/8723,persons/495,CASUAL
533,persons/8666,persons/9056,CASUAL
534,persons/3961,persons/3466,CLOSE
535,persons/8226,persons/4695,CLOSE
536,persons/4117,persons/7872,CLOSE
537,persons/6392,persons/7801,CASUAL
538,persons/111,persons/329,CLOSE
539,persons/2742,persons/3694,CLOSE
540,persons/6670,persons/1730,CLOSE
541,persons/7658,persons/2023,CASUAL
542,persons/3873,persons/2962,DISTANT
543,persons/6027,persons/5026,DISTANT
544,persons/5405,persons/5203,CLOSE
545,persons/3439,persons/7143,CASUAL
546,persons/1713,persons/119,CLOSE
547,persons/6069,persons/9324,CASUAL
548,persons/4126,persons/8876,DISTANT
549,persons/7441,persons/2917,CASUAL
550,persons/1868,persons/1495,CASUAL
551,persons/9291,persons/2023,CASUAL
552,persons/3035,persons/228,CLOSE
553,persons/5145,persons/1413,DISTANT
554,persons/7708,persons/6417,CASUAL
555,persons/5620,persons/2967,CASUAL
556,persons/7927,persons/4564,CLOSE
557,persons/3540,persons/3312,DISTANT
558,persons/4012,persons/5113,CASUAL
559,persons/5986,persons/7882,CLOSE
560,persons/8133,persons/5053,CASUAL
561,persons/8652,persons/2476,CASUAL
562,persons/6583,persons/2426,CASUAL
563,persons/1489,persons/9485,CASUAL
564,persons/8085,persons/5015,DISTANT
565,persons/4040,persons/4480,CASUAL
566,persons/1352,persons/8610,CLOSE
567,persons/9025,persons/8255,DISTANT
568,persons/9687,persons/3737,CLOSE
569,persons/7746,persons/2856,CASUAL
570,persons/3250,persons/1080,CASUAL
571,persons/2406,persons/1410,DISTANT
572,persons/1364,persons/6474,CASUAL
573,persons/1073,persons/869,DISTANT
574,persons/9709,persons/4332,DISTANT
575,persons/4327,persons/9302,CASUAL
576,persons/3,persons/4251,DISTANT
577,persons/5873,persons/3636,CASUAL
578,persons/1808,persons/720,CLOSE
579,persons/13,persons/4642,DISTANT
580,persons/1753,persons/5004,DISTANT
581,persons/3218,persons/9031,CLOSE
582,persons/7558,persons/3930,DISTANT
583,persons/2715,persons/4385,CLOSE
584,persons/7524,persons/2577,CASUAL
585,persons/2092,persons/2951,DISTANT
586,persons/2548,persons/8987,CLOSE
587,persons/1494,persons/3718,CASUAL
588,persons/8009,persons/7183,DISTANT
589,persons/8105,persons/9087,DISTANT
590,persons/3226,persons/3336,CASUAL
591,persons/3279,persons/7608,CASUAL
592,persons/9775,persons/7156,DISTANT
593,persons/1080,persons/507,DISTANT
594,persons/2408,persons/6513,CASUAL
595,persons/3058,persons/8127,CASUAL
596,persons/2434,persons/3114,DISTANT
597,persons/5644,persons/5962,CASUAL
598,persons/3855,persons/6375,CASUAL
599,persons/1879,persons/2984,DISTANT
600,persons/2226,persons/4691,CLOSE
601,persons/6584,persons/6306,CASUAL
602,persons/4680,persons/1011,CASUAL
603,persons/1592,persons/4292,CASUAL
604,persons/6402,persons/2635,CASUAL
605,persons/6093,persons/892,CASUAL
606,persons/6615,persons/6684,CASUAL
607,persons/7416,persons/1086,CLOSE
608,persons/3942,persons/997,CLOSE
609,persons/5362,persons/6202,CLOSE
610,persons/9098,persons/6207,DISTANT
611,persons/9075,persons/8109,CASUAL
612,persons/6874,persons/2367,CASUAL
613,persons/1632,persons/6618,CASUAL
614,persons/7762,persons/7200,CASUAL
615,persons/2508,persons/7437,CASUAL
616,persons/4027,persons/8156,CASUAL
617,persons/9849,persons/8544,DISTANT
618,persons/9196,persons/4103,DISTANT
619,persons/7828,persons/8624,DISTANT
620,persons/6223,persons/4543,CASUAL
621,persons/805,persons/3492,DISTANT
622,persons/7634,persons/186,DISTANT
623,persons/7926,persons/5430,CASUAL
624,persons/3055,persons/6520,DISTANT
625,persons/8440,persons/2853,CASUAL
626,persons/2097,persons/7779,CLOSE
627,persons/2645,persons/5877,CASUAL
628,persons/2100,persons/6106,DISTANT
629,persons/8526,persons/5532,CLOSE
630,persons/5397,persons/1714,CLOSE
631,persons/9209,persons/5104,DISTANT
632,persons/3796,persons/8359,CASUAL
633,persons/4966,persons/2367,DISTANT
634,persons/8665,persons/7878,CASUAL
635,persons/6857,persons/6282,DISTANT
636,persons/9033,persons/9111,CASUAL
637,persons/6519,persons/5296,CLOSE
638,persons/951,persons/5779,CASUAL
639,persons/8639,persons/7810,DISTANT
640,persons/6337,persons/5603,CASUAL
641,persons/2495,persons/2700,CASUAL
642,persons/3079,persons/197,DISTANT
643,persons/9485,persons/7226,CLOSE
644,persons/3333,persons/3083,DISTANT
645,persons/8107,persons/5943,CLOSE
646,persons/9332,persons/2380,CLOSE
647,persons/372,persons/1330,CASUAL
648,persons/5266,persons/5919,CASUAL
649,persons/2296,persons/8260,CASUAL
650,persons/3632,persons/4045,DISTANT
651,persons/1591,persons/7058,CLOSE
652,persons/7657,persons/374,CLOSE
653,persons/8912,persons/9222,DISTANT
654,persons/7680,persons/1019,DISTANT
655,persons/4120,persons/8629,CLOSE
656,persons/6334,persons/8557,DISTANT
657,persons/6909,persons/814,CLOSE
658,persons/1377,persons/7049,CASUAL
659,persons/4558,persons/2434,DISTANT
660,persons/139,persons/2038,CASUAL
661,persons/7860,persons/9143,DISTANT
662,persons/9092,persons/3996,CLOSE
663,persons/4585,persons/6981,CASUAL
664,persons/7280,persons/8863,DISTANT
665,persons/9721,persons/9454,CASUAL
666,persons/4016,persons/2470,CLOSE
667,persons/6294,persons/610,CASUAL
668,persons/5021,persons/3778,DISTANT
669,persons/3770,persons/6864,DISTANT
670,persons/4102,persons/1786,DISTANT
671,persons/744,persons/7481,CASUAL
672,persons/7736,persons/4097,CLOSE
673,persons/9536,persons/6086,CLOSE
674,persons/7745,persons/5346,DISTANT
675,persons/6837,persons/4850,CASUAL
676,persons/7468,persons/6854,CLOSE
677,persons/8692,persons/9045,DISTANT
678,persons/8506,persons/2533,CASUAL
679,persons/1920,persons/7683,DISTANT
680,persons/1581,persons/5091,CASUAL
681,persons/4025,persons/8509,CLOSE
682,persons/47,persons/2316,DISTANT
683,persons/9585,persons/1235,CLOSE
684,persons/2682,persons/8765,CLOSE
685,persons/4787,persons/4218,DISTANT
686,persons/9962,persons/1536,DISTANT
687,persons/1820,persons/4728,DISTANT
688,persons/6061,persons/7339,CLOSE
689,persons/6953,persons/4074,CASUAL
690,persons/3108,persons/3657,DISTANT
691,persons/8826,persons/6471,CLOSE
692,persons/612,persons/5792,CLOSE
693,persons/9427,persons/1526,DISTANT
694,persons/8837,persons/327,DISTANT
695,persons/3254,persons/8237,DISTANT
696,persons/2310,persons/6415,CASUAL
697,persons/9281,persons/2815,CASUAL
698,persons/8705,persons/6081,DISTANT
699,persons/3665,persons/9907,CLOSE
700,persons/6493,persons/8444,CASUAL
701,persons/6996,persons/4742,DISTANT
702,persons/7439,persons/2707,DISTANT
703,persons/6359,persons/676,CLOSE
