_key,_from,_to,exposure
192,persons/21362,persons/88692,CASUAL
193,persons/95494,persons/58842,CASUAL
194,persons/31834,persons/44343,DISTANT
195,persons/3669,persons/26667,CLOSE
196,persons/46280,persons/95737,CLOSE
197,persons/93569,persons/26533,CLOSE
198,persons/70942,persons/5918,CLOSE
199,persons/53454,persons/84113,CASUAL
200,persons/81142,persons/26270,DISTANT
201,persons/52658,persons/93330,CASUAL
202,persons/3975,persons/42797,CLOSE
203,persons/90961,persons/24288,CLOSE
204,persons/4062,persons/59962,CASUAL
205,persons/93175,persons/65531,CASUAL
206,persons/39107,persons/78221,DISTANT
207,persons/62811,persons/70432,DISTANT
208,persons/20528,persons/67928,CLOSE
209,persons/73229,persons/22241,DISTANT
210,persons/90814,persons/19436,CLOSE
211,persons/27709,persons/40816,CLOSE
212,persons/59289,persons/99776,CLOSE
213,persons/87182,persons/70598,DISTANT
214,persons/36952,persons/98960,CASUAL
215,persons/77383,persons/89636,CLOSE
216,persons/77139,persons/90341,CLOSE
217,persons/81231,persons/83014,CLOSE
218,persons/14859,persons/94271,CLOSE
219,persons/80667,persons/58632,DISTANT
220,persons/25258,persons/68578,CLOSE
221,persons/58373,persons/82275,CASUAL
222,persons/59978,persons/68864,DISTANT
223,persons/26553,persons/67492,CASUAL
224,persons/74636,persons/96201,CASUAL
225,persons/53725,persons/35230,CLOSE
226,persons/18759,persons/12592,CASUAL
227,persons/2394,persons/67321,DISTANT
228,persons/29976,persons/12771,CLOSE
229,persons/77347,persons/76441,CASUAL
230,persons/97084,persons/23644,DISTANT
231,persons/44821,persons/43264,CLOSE
232,persons/67766,persons/78945,CASUAL
233,persons/46473,persons/49780,CASUAL
234,persons/96560,persons/91178,DISTANT
235,persons/95809,persons/49443,CASUAL
236,persons/23794,persons/11959,DISTANT
237,persons/55565,persons/50039,DISTANT
238,persons/81977,persons/96770,CASUAL
239,persons/30697,persons/77759,CASUAL
240,persons/61256,persons/41458,DISTANT
241,persons/8370,persons/55341,DISTANT
242,persons/57490,persons/73257,CASUAL
243,persons/50353,persons/21323,CLOSE
244,persons/13881,persons/5333,CLOSE
245,persons/71803,persons/4924,CASUAL
246,persons/96109,persons/81674,CLOSE
247,persons/16823,persons/71002,DISTANT
248,persons/17657,persons/75813,CASUAL
249,persons/20722,persons/2028,DISTANT
250,persons/49936,persons/43972,DISTANT
251,persons/84349,persons/61500,CLOSE
252,persons/86286,persons/80664,CLOSE
253,persons/98446,persons/41802,CASUAL
254,persons/59017,persons/69373,CLOSE
255,persons/9015,persons/57351,CASUAL
256,persons/37174,persons/81942,CLOSE
257,persons/3545,persons/24808,CASUAL
258,persons/73040,persons/40126,DISTANT
259,persons/83976,persons/62089,CASUAL
260,persons/46177,persons/77170,CASUAL
261,persons/69795,persons/66521,CASUAL
262,persons/55990,persons/85231,CASUAL
263,persons/85133,persons/28828,CLOSE
264,persons/99802,persons/99857,DISTANT
265,persons/14133,persons/91717,DISTANT
266,persons/52364,persons/36852,CASUAL
267,persons/68950,persons/35056,DISTANT
268,persons/94672,persons/89462,CLOSE
269,persons/2140,persons/40829,CASUAL
270,persons/64159,persons/78414,CLOSE
271,persons/18522,persons/22394,CASUAL
272,persons/46537,persons/20477,DISTANT
273,persons/4436,persons/96379,CASUAL
274,persons/76341,persons/24751,DISTANT
275,persons/12927,persons/41555,DISTANT
276,persons/70140,persons/44935,CASUAL
277,persons/87112,persons/7584,CASUAL
278,persons/62363,persons/16823,DISTANT
279,persons/98692,persons/16768,CLOSE
280,persons/63382,persons/17803,CLOSE
281,persons/36238,persons/66914,DISTANT
282,persons/50897,persons/99093,CLOSE
283,persons/53768,persons/97421,CLOSE
284,persons/3742,persons/27580,CLOSE
285,persons/64784,persons/11707,CASUAL
286,persons/65999,persons/85347,CASUAL
287,persons/96534,persons/69394,DISTANT
288,persons/17000,persons/83905,CASUAL
289,persons/57015,persons/87799,CLOSE
290,persons/89390,persons/42884,CLOSE
291,persons/30252,persons/55256,CLOSE
292,persons/39811,persons/19234,CLOSE
293,persons/15321,persons/83307,CLOSE
294,persons/91021,persons/16378,DISTANT
295,persons/84606,persons/38885,CLOSE
296,persons/14349,persons/76935,CASUAL
297,persons/63813,persons/45164,DISTANT
298,persons/55420,persons/44469,CASUAL
299,persons/63009,persons/67996,CASUAL
300,persons/69133,persons/25776,DISTANT
301,persons/42770,persons/25891,CLOSE
302,persons/42238,persons/53449,CASUAL
303,persons/31803,persons/42649,CASUAL
304,persons/87736,persons/9595,DISTANT
305,persons/88181,persons/30749,CLOSE
306,persons/99890,persons/99675,DISTANT
307,persons/34588,persons/23836,CASUAL
308,persons/49878,persons/26001,CLOSE
309,persons/89655,persons/6667,CASUAL
310,persons/85738,persons/15478,DISTANT
311,persons/118,persons/90438,DISTANT
312,persons/52830,persons/71683,CASUAL
313,persons/9193,persons/42278,DISTANT
314,persons/66239,persons/49506,CASUAL
315,persons/65817,persons/93778,CLOSE
316,persons/32523,persons/29870,DISTANT
317,persons/99008,persons/36204,DISTANT
318,persons/53081,persons/61515,CLOSE
319,persons/27535,persons/48980,CLOSE
320,persons/83230,persons/51671,DISTANT
321,persons/92279,persons/93465,CASUAL
322,persons/60356,persons/15272,DISTANT
323,persons/84746,persons/45378,DISTANT
324,persons/56971,persons/68863,CLOSE
325,persons/32330,persons/52229,DISTANT
326,persons/47818,persons/60994,CLOSE
327,persons/44753,persons/56163,DISTANT
328,persons/23202,persons/24374,CASUAL
329,persons/66478,persons/94830,CASUAL
330,persons/43812,persons/95397,CASUAL
331,persons/22662,persons/97325,CASUAL
332,persons/56253,persons/74093,CASUAL
333,persons/50820,persons/36318,DISTANT
334,persons/47422,persons/97611,DISTANT
335,persons/68268,persons/24916,CLOSE
336,persons/23721,persons/55430,CASUAL
337,persons/41534,persons/30788,CASUAL
338,persons/73880,persons/24428,DISTANT
339,persons/55036,persons/27912,CLOSE
340,persons/91637,persons/1463,DISTANT
341,persons/27677,persons/81902,DISTANT
342,persons/8796,persons/29315,CASUAL
343,persons/79644,persons/59854,CASUAL
344,persons/54680,persons/87999,CLOSE
345,persons/77028,persons/40302,CLOSE
346,persons/77768,persons/16523,CASUAL
347,persons/14386,persons/53675,DISTANT
348,persons/97050,persons/4304,DISTANT
349,persons/90426,persons/98444,DISTANT
350,persons/29174,persons/8109,CASUAL
351,persons/3322,persons/45992,CLOSE
352,persons/20733,persons/45532,CASUAL
353,persons/10685,persons/97970,CLOSE
354,persons/21393,persons/84537,CASUAL
355,persons/79981,persons/37892,CASUAL
356,persons/67450,persons/95402,CLOSE
357,persons/96160,persons/53150,CASUAL
358,persons/67834,persons/2885,CLOSE
359,persons/69615,persons/69350,DISTANT
360,persons/86957,persons/28565,DISTANT
361,persons/14646,persons/28634,CLOSE
362,persons/5682,persons/35289,CLOSE
363,persons/24635,persons/33575,DISTANT
364,persons/87396,persons/27656,DISTANT
365,persons/98808,persons/55626,DISTANT
366,persons/10175,persons/8725,DISTANT
367,persons/79663,persons/10716,DISTANT
368,persons/35871,persons/45350,DISTANT
369,persons/23371,persons/45320,DISTANT
370,persons/94657,persons/54162,CLOSE
371,persons/69973,persons/28712,CLOSE
372,persons/95612,persons/51499,CASUAL
373,persons/17495,persons/933,DISTANT
374,persons/40805,persons/51550,CLOSE
375,persons/21960,persons/87854,DISTANT
376,persons/21019,persons/97910,CLOSE
377,persons/66306,persons/40879,CASUAL
378,persons/46133,persons/75215,DISTANT
379,persons/95073,persons/67903,DISTANT
380,persons/84358,persons/34392,CASUAL
381,persons/68950,persons/76631,CLOSE
382,persons/68790,persons/80657,DISTANT
383,persons/96764,persons/24768,CASUAL
384,persons/93587,persons/61724,CASUAL
385,persons/56451,persons/82116,CASUAL
386,persons/56845,persons/55505,CLOSE
387,persons/61436,persons/58893,CLOSE
388,persons/68578,persons/90160,CLOSE
389,persons/15708,persons/90904,CLOSE
390,persons/58864,persons/41818,DISTANT
391,persons/75315,persons/43460,CLOSE
392,persons/34759,persons/18153,CASUAL
393,persons/94367,persons/51784,CASUAL
394,persons/72457,persons/58594,CASUAL
395,persons/74876,persons/19941,DISTANT
396,persons/50913,persons/64985,CASUAL
397,persons/79319,persons/14906,CLOSE
398,persons/33537,persons/6110,CASUAL
399,persons/46113,persons/96444,CLOSE
400,persons/3874,persons/34051,CASUAL
401,persons/68872,persons/63924,CASUAL
402,persons/10217,persons/57697,CASUAL
403,persons/32386,persons/93436,DISTANT
404,persons/60395,persons/76721,CASUAL
405,persons/70162,persons/3281,CASUAL
406,persons/59742,persons/29083,CASUAL
407,persons/83436,persons/22896,DISTANT
408,persons/72751,persons/43737,DISTANT
409,persons/37778,persons/73320,DISTANT
410,persons/77669,persons/530,DISTANT
411,persons/6526,persons/21831,DISTANT
412,persons/87451,persons/53431,CASUAL
413,persons/47170,persons/62561,CLOSE
414,persons/51064,persons/93020,CASUAL
415,persons/85550,persons/30386,DISTANT
416,persons/68432,persons/89986,DISTANT
417,persons/78762,persons/34865,CLOSE
418,persons/5831,persons/32463,CASUAL
419,persons/59942,persons/95785,DISTANT
420,persons/92279,persons/12416,DISTANT
421,persons/44937,persons/55244,CASUAL
422,persons/89793,persons/94051,CASUAL
423,persons/58145,persons/56057,DISTANT
424,persons/16020,persons/81244,DISTANT
425,persons/25480,persons/68377,CLOSE
426,persons/33026,persons/31528,CASUAL
427,persons/69995,persons/69369,CASUAL
428,persons/83746,persons/71603,CASUAL
429,persons/81527,persons/95614,DISTANT
430,persons/8263,persons/27748,CASUAL
431,persons/61889,persons/87544,DISTANT
432,persons/44756,persons/30738,CASUAL
433,persons/2128,persons/95025,CASUAL
434,persons/79122,persons/70059,CASUAL
435,persons/36747,persons/94387,DISTANT
436,persons/39641,persons/87205,DISTANT
437,persons/8993,persons/99830,DISTANT
438,persons/73623,persons/96246,DISTANT
439,persons/43182,persons/82475,CASUAL
440,persons/11935,persons/19760,CASUAL
441,persons/26927,persons/13376,CLOSE
442,persons/21622,persons/23902,CASUAL
443,persons/24858,persons/47588,CASUAL
444,persons/25471,persons/84115,DISTANT
445,persons/53679,persons/77012,DISTANT
446,persons/43474,persons/88704,DISTANT
447,persons/44049,persons/21663,CLOSE
448,persons/60863,persons/4644,CASUAL
449,persons/41879,persons/6820,DISTANT
450,persons/67906,persons/2319,DISTANT
451,persons/1597,persons/73002,CLOSE
452,persons/85908,persons/58203,CASUAL
453,persons/68821,persons/53153,CLOSE
454,persons/66467,persons/70628,CASUAL
455,persons/21911,persons/77175,CLOSE
456,persons/90320,persons/70946,DISTANT
457,persons/71596,persons/69325,DISTANT
458,persons/45767,persons/10007,DISTANT
459,persons/46242,persons/99301,CASUAL
460,persons/80500,persons/32474,DISTANT
461,persons/76426,persons/18437,CLOSE
462,persons/24257,persons/42446,CLOSE
463,persons/20043,persons/18077,CASUAL
464,persons/61040,persons/91566,DISTANT
465,persons/41809,persons/5670,CASUAL
466,persons/53488,persons/67798,DISTANT
467,persons/98602,persons/67792,DISTANT
468,persons/21306,persons/4073,CASUAL
469,persons/39545,persons/83201,DISTANT
470,persons/13117,persons/5797,DISTANT
471,persons/11111,persons/34646,CLOSE
472,persons/59495,persons/94198,CLOSE
473,persons/92138,persons/76366,DISTANT
474,persons/89334,persons/360,DISTANT
475,persons/1338,persons/99537,CLOSE
476,persons/77078,persons/45066,CLOSE
477,persons/24693,persons/14730,CASUAL
478,persons/75873,persons/71733,CASUAL
479,persons/68625,persons/24244,CASUAL
480,persons/59927,persons/65264,CLOSE
481,persons/30249,persons/38132,CLOSE
482,persons/94625,persons/72738,CASUAL
483,persons/32160,persons/34862,CLOSE
484,persons/15467,persons/10424,DISTANT
485,persons/84124,persons/31293,CLOSE
486,persons/4307,persons/5433,CASUAL
487,persons/99453,persons/28753,CLOSE
488,persons/78616,persons/26965,CASUAL
489,persons/73274,persons/51654,CASUAL
490,persons/92104,persons/64928,CLOSE
491,persons/35339,persons/90504,CLOSE
492,persons/98753,persons/90969,DISTANT
493,persons/50963,persons/30681,DISTANT
494,persons/95511,persons/17813,DISTANT
495,persons/3480,persons/64373,DISTANT
496,persons/65724,persons/71897,DISTANT
497,persons/24532,persons/9639,CLOSE
498,persons/91426,persons/87771,CLOSE
499,persons/12707,persons/12546,CLOSE
500,persons/23908,persons/45692,CLOSE
501,persons/69792,persons/70004,CLOSE
502,persons/11841,persons/37318,CASUAL
503,persons/57841,persons/23054,CLOSE
504,persons/80268,persons/215,CASUAL
505,persons/24540,persons/35910,CASUAL
506,persons/79511,persons/34565,CLOSE
507,persons/89547,persons/54364,DISTANT
508,persons/36036,persons/31619,CASUAL
509,persons/23730,persons/20413,DISTANT
510,persons/84401,persons/2713,CLOSE
511,persons/11466,persons/1788,CASUAL
512,persons/29330,persons/73190,CLOSE
513,persons/35948,persons/10204,CLOSE
514,persons/18728,persons/59832,DISTANT
515,persons/97987,persons/49970,DISTANT
516,persons/27485,persons/3798,DISTANT
517,persons/1422,persons/65194,CLOSE
518,persons/94993,persons/33887,DISTANT
519,persons/78631,persons/43593,CLOSE
520,persons/66100,persons/67138,DISTANT
521,persons/20493,persons/32889,DISTANT
522,persons/56127,persons/95915,CASUAL
523,persons/41138,persons/29397,CASUAL
524,persons/75103,persons/89711,DISTANT
525,persons/29421,persons/13377,CLOSE
526,persons/47648,persons/30998,DISTANT
527,persons/42371,persons/27070,DISTANT
528,persons/48410,persons/83461,CASUAL
529,persons/49397,persons/88723,CASUAL
530,persons/79525,persons/60209,CASUAL
531,persons/31774,persons/6625,DISTANT
532,persons/59243,persons/12670,CASUAL
533,persons/91845,persons/3978,CASUAL
534,persons/27507,persons/99291,DISTANT
535,persons/71695,persons/51276,DISTANT
536,persons/7607,persons/6015,CASUAL
537,persons/99379,persons/65336,DISTANT
538,persons/38880,persons/88598,DISTANT
539,persons/55372,persons/59695,CLOSE
540,persons/32279,persons/91011,CLOSE
541,persons/57938,persons/27784,CLOSE
542,persons/3236,persons/83993,CLOSE
543,persons/19153,persons/72195,DISTANT
544,persons/83913,persons/7208,DISTANT
545,persons/78273,persons/24834,CASUAL
546,persons/5631,persons/24941,CASUAL
547,persons/23902,persons/89588,DISTANT
548,persons/3954,persons/68538,DISTANT
549,persons/85573,persons/17016,CLOSE
550,persons/56092,persons/81327,CASUAL
551,persons/83661,persons/16925,CASUAL
552,persons/59344,persons/45486,CLOSE
553,persons/9551,persons/40361,DISTANT
554,persons/99305,persons/79399,CLOSE
555,persons/47242,persons/29804,DISTANT
556,persons/78181,persons/78448,CASUAL
557,persons/40422,persons/81187,DISTANT
558,persons/27909,persons/7267,CLOSE
559,persons/18986,persons/35753,CASUAL
560,persons/5907,persons/7349,DISTANT
561,persons/94259,persons/11123,DISTANT
562,persons/17805,persons/17745,CASUAL
563,persons/64730,persons/55539,CLOSE
564,persons/83947,persons/45367,DISTANT
565,persons/63181,persons/98920,CASUAL
566,persons/99778,persons/13511,CLOSE
567,persons/10562,persons/54041,CASUAL
568,persons/93101,persons/75263,CASUAL
569,persons/12639,persons/79940,CASUAL
570,persons/49505,persons/45978,DISTANT
571,persons/98769,persons/58966,DISTANT
572,persons/84424,persons/3654,CASUAL
573,persons/93905,persons/69980,CASUAL
574,persons/87423,persons/37222,CLOSE
575,persons/52494,persons/57678,CLOSE
576,persons/835,persons/30150,CASUAL
577,persons/1098,persons/12367,CASUAL
578,persons/54579,persons/39777,CLOSE
579,persons/3173,persons/85470,DISTANT
580,persons/76220,persons/57740,CLOSE
581,persons/18436,persons/52,CASUAL
582,persons/31893,persons/95152,CLOSE
583,persons/27118,persons/88103,CASUAL
584,persons/10188,persons/30086,CLOSE
585,persons/95843,persons/62014,CLOSE
586,persons/45403,persons/6886,CASUAL
587,persons/65234,persons/18450,CLOSE
588,persons/75991,persons/37519,DISTANT
589,persons/49389,persons/3484,CLOSE
590,persons/31056,persons/31722,CLOSE
591,persons/67774,persons/13121,CASUAL
592,persons/56191,persons/83092,CLOSE
593,persons/25694,persons/7534,CASUAL
594,persons/40555,persons/80967,CLOSE
595,persons/27261,persons/89821,CASUAL
596,persons/76676,persons/50926,CASUAL
597,persons/93913,persons/34111,CLOSE
598,persons/22220,persons/53277,CASUAL
599,persons/54380,persons/84084,DISTANT
600,persons/78688,persons/81767,CASUAL
601,persons/6902,persons/29019,CLOSE
602,persons/69706,persons/10114,DISTANT
603,persons/17230,persons/57946,CLOSE
604,persons/74097,persons/11010,CLOSE
605,persons/62349,persons/9263,CLOSE
606,persons/93245,persons/95664,DISTANT
607,persons/95654,persons/7616,DISTANT
608,persons/12249,persons/28806,CLOSE
609,persons/71799,persons/71505,DISTANT
610,persons/56429,persons/28162,CASUAL
611,persons/60085,persons/96115,CASUAL
612,persons/82642,persons/66028,CLOSE
613,persons/66256,persons/17630,DISTANT
614,persons/35209,persons/29182,CASUAL
615,persons/59486,persons/85758,DISTANT
616,persons/80047,persons/22931,DISTANT
617,persons/29936,persons/91104,CLOSE
618,persons/50256,persons/37299,DISTANT
619,persons/29832,persons/99767,DISTANT
620,persons/81352,persons/43759,CASUAL
621,persons/85782,persons/87779,DISTANT
622,persons/77042,persons/28219,CLOSE
623,persons/67348,persons/1678,CLOSE
624,persons/8484,persons/4266,CLOSE
625,persons/67229,persons/86864,CASUAL
626,persons/81827,persons/18301,DISTANT
627,persons/88724,persons/25602,CLOSE
628,persons/91666,persons/47376,CLOSE
629,persons/22133,persons/4137,DISTANT
630,persons/71521,persons/34533,CASUAL
631,persons/77106,persons/44768,CLOSE
632,persons/21715,persons/86745,CASUAL
633,persons/88058,persons/76072,CLOSE
634,persons/99896,persons/56140,CLOSE
635,persons/39724,persons/59654,CASUAL
636,persons/52300,persons/96427,DISTANT
637,persons/46347,persons/36464,DISTANT
638,persons/7416,persons/23440,CASUAL
639,persons/13667,persons/65807,CASUAL
640,persons/90822,persons/26142,CLOSE
641,persons/98551,persons/83461,DISTANT
642,persons/73929,persons/18269,DISTANT
643,persons/22565,persons/16704,DISTANT
644,persons/3073,persons/44845,CLOSE
645,persons/63489,persons/65697,DISTANT
646,persons/87949,persons/72071,CASUAL
647,persons/41463,persons/2026,CLOSE
648,persons/55794,persons/38828,DISTANT
649,persons/30542,persons/53103,DISTANT
650,persons/94029,persons/29048,CLOSE
651,persons/87235,persons/14964,DISTANT
652,persons/19675,persons/54765,CLOSE
653,persons/69262,persons/65693,CLOSE
654,persons/55425,persons/18434,DISTANT
655,persons/68738,persons/90733,DISTANT
656,persons/65304,persons/66732,CLOSE
657,persons/39553,persons/19398,CASUAL
658,persons/90096,persons/85103,CASUAL
659,persons/7364,persons/37866,DISTANT
660,persons/60265,persons/85742,CASUAL
661,persons/29596,persons/55150,CASUAL
662,persons/77474,persons/5340,DISTANT
663,persons/98797,persons/5110,CASUAL
664,persons/78404,persons/35971,DISTANT
665,persons/31421,persons/97076,DISTANT
666,persons/16026,persons/70132,DISTANT
667,persons/78982,persons/5709,DISTANT
668,persons/21579,persons/70458,DISTANT
669,persons/64813,persons/95680,DISTANT
670,persons/42195,persons/31426,CASUAL
671,persons/42390,persons/45744,CASUAL
672,persons/54414,persons/45673,CLOSE
673,persons/56439,persons/18568,DISTANT
674,persons/35991,persons/42910,DISTANT
675,persons/46943,persons/24086,CASUAL
676,persons/85135,persons/86872,CLOSE
677,persons/27640,persons/42420,DISTANT
678,persons/94132,persons/58903,DISTANT
679,persons/56755,persons/60914,DISTANT
680,persons/80143,persons/749,DISTANT
681,persons/4290,persons/12373,CASUAL
682,persons/5652,persons/93473,CASUAL
683,persons/55384,persons/81721,CASUAL
684,persons/28195,persons/62669,DISTANT
685,persons/50854,persons/42108,CASUAL
686,persons/44507,persons/37504,CASUAL
687,persons/4548,persons/20569,CLOSE
688,persons/80184,persons/86695,CLOSE
689,persons/51713,persons/84021,CLOSE
690,persons/1667,persons/13917,CLOSE
691,persons/83277,persons/90084,DISTANT
692,persons/64260,persons/56826,DISTANT
693,persons/65673,persons/92538,CASUAL
694,persons/10049,persons/68253,DISTANT
695,persons/88271,persons/69198,CASUAL
696,persons/48646,persons/66398,CLOSE
697,persons/12224,persons/3144,CLOSE
698,persons/23016,persons/7378,CLOSE
